Code,Body Part
33,"Arm, lower (not including elbow or wrist)"
80,"Arm, upper"
37,Ankle
94,Ear
32,Elbow
77,Eyeball
76,"Face (including eyelid, eye area and nose)"
92,Finger
83,Foot
82,Hand
75,Head
0,Internal (use with aspiration and ingestion)
35,Knee
36,"Leg, lower (not including knee or ankle)"
81,"Leg, upper"
88,"Mouth (including lips, tongue and teeth)"
89,Neck
38,Pubic region
30,"Shoulder (including clavicle, collarbone)"
93,Toe
79,"Trunk, lower"
31,"Trunk, upper (not including shoulders)"
34,Wrist
84,25-50% of body
85,All parts of body (more than 50% of body)
87,Not recorded
